"","District","Epiweek","Epiyear","DISTCODE","SQKM","Province","Region","u5total","XCOORD","YCOORD","cases","IRSyear","IRSepiWeek","raint","tavg","rh","sd","psfc"
"93","MOATIZE",12,2013,510,8432477.619,"TETE","Center",55116,34.003451,-15.972854,1802,NA,NA,2.98,22.3457142857143,92.0428571428571,1.57142857142857,945.667142857143
"95","MOGINCUAL",44,2016,310,4404460.297,"NAMPULA","Coastal",28406,40.087354,-15.539174,1890,2016,48,0.31,27.4071428571429,41.3428571428571,16.0342857142857,945.692857142857
"96","MOGINCUAL",48,2012,310,4404460.297,"NAMPULA","Coastal",26851,40.087354,-15.539174,1754,NA,NA,1.84,24.1485714285714,71.0742857142857,6.79428571428571,946.451428571429
"97","MOGOVOLAS",44,2016,311,4711077.567,"NAMPULA","Northern",72624,39.259709,-15.737599,972,NA,NA,0.31,27.4071428571429,41.3428571428571,16.0342857142857,945.692857142857
"98","MOGOVOLAS",48,2014,311,4711077.567,"NAMPULA","Northern",67862,39.259709,-15.737599,1043,NA,NA,0,24.1214285714286,64.9614285714286,7.81571428571429,945.578571428571
"99","MOMA",44,2016,312,5754698.152,"NAMPULA","Coastal",63821,39.2703,-16.357195,3058,NA,NA,0.31,27.4071428571429,41.3428571428571,16.0342857142857,945.692857142857
"100","MOMA",48,2014,312,5754698.152,"NAMPULA","Coastal",64438,39.2703,-16.357195,3457,NA,NA,0,24.1214285714286,64.9614285714286,7.81571428571429,945.578571428571
"101","MONAPO",44,2016,313,3515152.633,"NAMPULA","Northern",65196,40.135338,-14.791901,2204,NA,NA,0.31,27.4071428571429,41.3428571428571,16.0342857142857,945.692857142857
"102","MONAPO",48,2014,313,3515152.633,"NAMPULA","Northern",67942,40.135338,-14.791901,2365,NA,NA,0,24.1214285714286,64.9614285714286,7.81571428571429,945.578571428571
"103","MONTEPUEZ",20,2015,210,17805821.09,"CABO DELGADO","Northern",34903,38.728147,-12.604018,1646,NA,NA,0,18.1514285714286,78.2114285714286,3.28714285714286,950.848571428571
"104","MOPEIA",48,2013,412,7656953.372,"ZAMBEZIA","Coastal",22188,36.062597,-17.832918,877,NA,NA,0.36,23.2428571428571,75.16,5.24571428571429,946.022857142857
"105","MORRUMBENE",4,2014,811,2578775.863,"INHAMBANE","Coastal",21406,35.09889,-23.474027,1087,NA,NA,6.35,23.6085714285714,91.94,1.73857142857143,943.382857142857
"106","MOSSURIL",40,2016,314,3380735.23,"NAMPULA","Coastal",24023,40.514382,-15.06176,1004,NA,NA,6.9,23.9414285714286,50.3614285714286,11.5271428571429,947.915714285714
"107","MOSSURIL",44,2016,314,3380735.23,"NAMPULA","Coastal",24023,40.514382,-15.06176,1120,NA,NA,0.31,27.4071428571429,41.3428571428571,16.0342857142857,945.692857142857
"108","MOSSURIZE",44,2013,608,5022997.454,"MANICA","Center",45022,32.943321,-20.513622,1613,NA,NA,0.52,25.83,55.61,11.3085714285714,945.111428571429
"109","MUANZA",28,2013,712,7509756.649,"SOFALA","Coastal",7368,35.058863,-19.083992,241,2013,21,0,16.0128571428571,86.41,1.82142857142857,953.105714285714
"110","MUECATE",32,2015,315,4106402.034,"NAMPULA","Northern",19569,39.533772,-14.682592,1105,NA,NA,0,18.0657142857143,70.85,4.48,952.845714285714
"111","MUECATE",44,2016,315,4106402.034,"NAMPULA","Northern",19845,39.533772,-14.682592,1308,NA,NA,0.31,27.4071428571429,41.3428571428571,16.0342857142857,945.692857142857
"112","MUEDA",4,2012,211,11226611.71,"CABO DELGADO","Northern",16926,39.130263,-11.589132,289,NA,NA,60.91,22.8742857142857,94.0057142857143,1.23857142857143,938.162857142857
"113","MUEMBE",32,2013,113,5802112.361,"NIASSA","Northern",7505,35.812471,-12.824453,61,NA,NA,0,18.7114285714286,68.4828571428571,5.11428571428571,951.248571428571
"114","MUIDUMBE",4,2012,212,2095849.692,"CABO DELGADO","Northern",10309,39.836886,-11.833785,68,NA,NA,60.91,22.8742857142857,94.0057142857143,1.23857142857143,938.162857142857
"115","MURRUPULA",32,2015,316,3093452.418,"NAMPULA","Northern",33794,38.661173,-15.400686,379,NA,NA,0,18.0657142857143,70.85,4.48,952.845714285714
"116","MURRUPULA",44,2016,316,3093452.418,"NAMPULA","Northern",30213,38.661173,-15.400686,342,NA,NA,0.31,27.4071428571429,41.3428571428571,16.0342857142857,945.692857142857
"117","MUTARARA",20,2012,511,6366590.594,"TETE","Center",46148,34.772666,-16.867345,3112,NA,NA,0,18.3871428571429,89.0971428571429,1.68,949.972857142857
"118","NACAROA",44,2016,319,2713923.696,"NAMPULA","Northern",21822,39.906121,-14.336129,1515,NA,NA,0.31,27.4071428571429,41.3428571428571,16.0342857142857,945.692857142857
